date,store_id,item_id,units_sold,day_of_week,is_weekend,is_holiday,is_promo,base_price,year,month,day,week_of_year,category_Cardiac,category_Diabetes,category_Painkiller,category_Vitamin
2023-01-01,1,1001,33,6,1,0,1,201.69,2023,1,1,52,False,False,False,True
2023-01-01,1,1002,25,6,1,0,1,439.64,2023,1,1,52,False,False,False,False
2023-01-01,1,1003,31,6,1,0,1,123.24,2023,1,1,52,False,True,False,False
2023-01-01,1,1004,34,6,1,0,1,415.64,2023,1,1,52,False,False,False,True
2023-01-01,1,1005,26,6,1,0,1,260.46,2023,1,1,52,False,True,False,False
2023-01-01,1,1006,28,6,1,0,1,402.43,2023,1,1,52,False,True,False,False
2023-01-01,1,1007,29,6,1,0,1,359.62,2023,1,1,52,False,False,True,False
2023-01-01,1,1008,31,6,1,0,1,379.45,2023,1,1,52,False,True,False,False
2023-01-01,1,1009,27,6,1,0,1,101.23,2023,1,1,52,False,False,True,False
2023-01-01,1,1010,29,6,1,0,1,188.95,2023,1,1,52,False,False,True,False
2023-01-01,1,1011,26,6,1,0,1,152.22,2023,1,1,52,False,False,True,False
2023-01-01,1,1012,31,6,1,0,1,106.66,2023,1,1,52,True,False,False,False
2023-01-01,1,1013,31,6,1,0,1,337.66,2023,1,1,52,False,True,False,False
2023-01-01,1,1014,28,6,1,0,1,362.81,2023,1,1,52,False,False,False,True
2023-01-01,1,1015,32,6,1,0,1,113.67,2023,1,1,52,False,True,False,False
2023-01-01,1,1016,25,6,1,0,1,395.83,2023,1,1,52,False,False,False,False
2023-01-01,1,1017,27,6,1,0,1,179.07,2023,1,1,52,False,True,False,False
2023-01-01,1,1018,28,6,1,0,1,219.56,2023,1,1,52,True,False,False,False
2023-01-01,1,1019,30,6,1,0,1,496.96,2023,1,1,52,False,False,False,False
2023-01-01,1,1020,24,6,1,0,1,136.39,2023,1,1,52,False,False,False,False
2023-01-01,2,1001,21,6,1,0,1,201.69,2023,1,1,52,False,False,False,True
2023-01-01,2,1002,29,6,1,0,1,439.64,2023,1,1,52,False,False,False,False
2023-01-01,2,1003,34,6,1,0,1,123.24,2023,1,1,52,False,True,False,False
2023-01-01,2,1004,27,6,1,0,1,415.64,2023,1,1,52,False,False,False,True
2023-01-01,2,1005,25,6,1,0,1,260.46,2023,1,1,52,False,True,False,False
2023-01-01,2,1006,33,6,1,0,1,402.43,2023,1,1,52,False,True,False,False
2023-01-01,2,1007,32,6,1,0,1,359.62,2023,1,1,52,False,False,True,False
2023-01-01,2,1008,33,6,1,0,1,379.45,2023,1,1,52,False,True,False,False
2023-01-01,2,1009,28,6,1,0,1,101.23,2023,1,1,52,False,False,True,False
2023-01-01,2,1010,35,6,1,0,1,188.95,2023,1,1,52,False,False,True,False
2023-01-01,2,1011,28,6,1,0,1,152.22,2023,1,1,52,False,False,True,False
2023-01-01,2,1012,28,6,1,0,1,106.66,2023,1,1,52,True,False,False,False
2023-01-01,2,1013,33,6,1,0,1,337.66,2023,1,1,52,False,True,False,False
2023-01-01,2,1014,36,6,1,0,1,362.81,2023,1,1,52,False,False,False,True
2023-01-01,2,1015,25,6,1,0,1,113.67,2023,1,1,52,False,True,False,False
2023-01-01,2,1016,33,6,1,0,1,395.83,2023,1,1,52,False,False,False,False
2023-01-01,2,1017,33,6,1,0,1,179.07,2023,1,1,52,False,True,False,False
2023-01-01,2,1018,30,6,1,0,1,219.56,2023,1,1,52,True,False,False,False
2023-01-01,2,1019,28,6,1,0,1,496.96,2023,1,1,52,False,False,False,False
2023-01-01,2,1020,36,6,1,0,1,136.39,2023,1,1,52,False,False,False,False
2023-01-01,3,1001,29,6,1,0,1,201.69,2023,1,1,52,False,False,False,True
2023-01-01,3,1002,27,6,1,0,1,439.64,2023,1,1,52,False,False,False,False
2023-01-01,3,1003,27,6,1,0,1,123.24,2023,1,1,52,False,True,False,False
2023-01-01,3,1004,37,6,1,0,1,415.64,2023,1,1,52,False,False,False,True
2023-01-01,3,1005,34,6,1,0,1,260.46,2023,1,1,52,False,True,False,False
2023-01-01,3,1006,36,6,1,0,1,402.43,2023,1,1,52,False,True,False,False
2023-01-01,3,1007,28,6,1,0,1,359.62,2023,1,1,52,False,False,True,False
2023-01-01,3,1008,27,6,1,0,1,379.45,2023,1,1,52,False,True,False,False
2023-01-01,3,1009,29,6,1,0,1,101.23,2023,1,1,52,False,False,True,False
2023-01-01,3,1010,25,6,1,0,1,188.95,2023,1,1,52,False,False,True,False
2023-01-01,3,1011,38,6,1,0,1,152.22,2023,1,1,52,False,False,True,False
2023-01-01,3,1012,30,6,1,0,1,106.66,2023,1,1,52,True,False,False,False
2023-01-01,3,1013,40,6,1,0,1,337.66,2023,1,1,52,False,True,False,False
2023-01-01,3,1014,30,6,1,0,1,362.81,2023,1,1,52,False,False,False,True
2023-01-01,3,1015,27,6,1,0,1,113.67,2023,1,1,52,False,True,False,False
2023-01-01,3,1016,31,6,1,0,1,395.83,2023,1,1,52,False,False,False,False
2023-01-01,3,1017,22,6,1,0,1,179.07,2023,1,1,52,False,True,False,False
2023-01-01,3,1018,36,6,1,0,1,219.56,2023,1,1,52,True,False,False,False
2023-01-01,3,1019,25,6,1,0,1,496.96,2023,1,1,52,False,False,False,False
2023-01-01,3,1020,32,6,1,0,1,136.39,2023,1,1,52,False,False,False,False
2023-01-01,4,1001,27,6,1,0,1,201.69,2023,1,1,52,False,False,False,True
2023-01-01,4,1002,28,6,1,0,1,439.64,2023,1,1,52,False,False,False,False
2023-01-01,4,1003,32,6,1,0,1,123.24,2023,1,1,52,False,True,False,False
2023-01-01,4,1004,24,6,1,0,1,415.64,2023,1,1,52,False,False,False,True
2023-01-01,4,1005,28,6,1,0,1,260.46,2023,1,1,52,False,True,False,False
2023-01-01,4,1006,32,6,1,0,1,402.43,2023,1,1,52,False,True,False,False
2023-01-01,4,1007,30,6,1,0,1,359.62,2023,1,1,52,False,False,True,False
2023-01-01,4,1008,32,6,1,0,1,379.45,2023,1,1,52,False,True,False,False
2023-01-01,4,1009,32,6,1,0,1,101.23,2023,1,1,52,False,False,True,False
2023-01-01,4,1010,37,6,1,0,1,188.95,2023,1,1,52,False,False,True,False
2023-01-01,4,1011,28,6,1,0,1,152.22,2023,1,1,52,False,False,True,False
2023-01-01,4,1012,27,6,1,0,1,106.66,2023,1,1,52,True,False,False,False
2023-01-01,4,1013,34,6,1,0,1,337.66,2023,1,1,52,False,True,False,False
2023-01-01,4,1014,30,6,1,0,1,362.81,2023,1,1,52,False,False,False,True
2023-01-01,4,1015,36,6,1,0,1,113.67,2023,1,1,52,False,True,False,False
2023-01-01,4,1016,28,6,1,0,1,395.83,2023,1,1,52,False,False,False,False
2023-01-01,4,1017,32,6,1,0,1,179.07,2023,1,1,52,False,True,False,False
2023-01-01,4,1018,31,6,1,0,1,219.56,2023,1,1,52,True,False,False,False
2023-01-01,4,1019,24,6,1,0,1,496.96,2023,1,1,52,False,False,False,False
2023-01-01,4,1020,30,6,1,0,1,136.39,2023,1,1,52,False,False,False,False
2023-01-01,5,1001,32,6,1,0,1,201.69,2023,1,1,52,False,False,False,True
2023-01-01,5,1002,33,6,1,0,1,439.64,2023,1,1,52,False,False,False,False
2023-01-01,5,1003,28,6,1,0,1,123.24,2023,1,1,52,False,True,False,False
2023-01-01,5,1004,32,6,1,0,1,415.64,2023,1,1,52,False,False,False,True
2023-01-01,5,1005,24,6,1,0,1,260.46,2023,1,1,52,False,True,False,False
2023-01-01,5,1006,27,6,1,0,1,402.43,2023,1,1,52,False,True,False,False
2023-01-01,5,1007,36,6,1,0,1,359.62,2023,1,1,52,False,False,True,False
2023-01-01,5,1008,34,6,1,0,1,379.45,2023,1,1,52,False,True,False,False
2023-01-01,5,1009,31,6,1,0,1,101.23,2023,1,1,52,False,False,True,False
2023-01-01,5,1010,26,6,1,0,1,188.95,2023,1,1,52,False,False,True,False
2023-01-01,5,1011,27,6,1,0,1,152.22,2023,1,1,52,False,False,True,False
2023-01-01,5,1012,32,6,1,0,1,106.66,2023,1,1,52,True,False,False,False
2023-01-01,5,1013,36,6,1,0,1,337.66,2023,1,1,52,False,True,False,False
2023-01-01,5,1014,27,6,1,0,1,362.81,2023,1,1,52,False,False,False,True
2023-01-01,5,1015,35,6,1,0,1,113.67,2023,1,1,52,False,True,False,False
2023-01-01,5,1016,26,6,1,0,1,395.83,2023,1,1,52,False,False,False,False
2023-01-01,5,1017,37,6,1,0,1,179.07,2023,1,1,52,False,True,False,False
2023-01-01,5,1018,31,6,1,0,1,219.56,2023,1,1,52,True,False,False,False
2023-01-01,5,1019,25,6,1,0,1,496.96,2023,1,1,52,False,False,False,False
2023-01-01,5,1020,35,6,1,0,1,136.39,2023,1,1,52,False,False,False,False
2023-01-02,1,1001,27,0,0,0,1,201.69,2023,1,2,1,False,False,False,True
2023-01-02,1,1002,23,0,0,0,1,439.64,2023,1,2,1,False,False,False,False
2023-01-02,1,1003,25,0,0,0,1,123.24,2023,1,2,1,False,True,False,False
2023-01-02,1,1004,29,0,0,0,1,415.64,2023,1,2,1,False,False,False,True
2023-01-02,1,1005,27,0,0,0,1,260.46,2023,1,2,1,False,True,False,False
2023-01-02,1,1006,31,0,0,0,1,402.43,2023,1,2,1,False,True,False,False
2023-01-02,1,1007,23,0,0,0,1,359.62,2023,1,2,1,False,False,True,False
2023-01-02,1,1008,26,0,0,0,1,379.45,2023,1,2,1,False,True,False,False
2023-01-02,1,1009,25,0,0,0,1,101.23,2023,1,2,1,False,False,True,False
2023-01-02,1,1010,22,0,0,0,1,188.95,2023,1,2,1,False,False,True,False
2023-01-02,1,1011,14,0,0,0,1,152.22,2023,1,2,1,False,False,True,False
2023-01-02,1,1012,29,0,0,0,1,106.66,2023,1,2,1,True,False,False,False
2023-01-02,1,1013,20,0,0,0,1,337.66,2023,1,2,1,False,True,False,False
2023-01-02,1,1014,28,0,0,0,1,362.81,2023,1,2,1,False,False,False,True
2023-01-02,1,1015,26,0,0,0,1,113.67,2023,1,2,1,False,True,False,False
2023-01-02,1,1016,17,0,0,0,1,395.83,2023,1,2,1,False,False,False,False
2023-01-02,1,1017,25,0,0,0,1,179.07,2023,1,2,1,False,True,False,False
