date,store_id,item_id,units_sold
2023-01-01,1,1001,33
2023-01-01,1,1002,25
2023-01-01,1,1003,31
2023-01-01,1,1004,34
2023-01-01,1,1005,26
2023-01-01,1,1006,28
2023-01-01,1,1007,29
2023-01-01,1,1008,31
2023-01-01,1,1009,27
2023-01-01,1,1010,29
2023-01-01,1,1011,26
2023-01-01,1,1012,31
2023-01-01,1,1013,31
2023-01-01,1,1014,28
2023-01-01,1,1015,32
2023-01-01,1,1016,25
2023-01-01,1,1017,27
2023-01-01,1,1018,28
2023-01-01,1,1019,30
2023-01-01,1,1020,24
2023-01-01,2,1001,21
2023-01-01,2,1002,29
2023-01-01,2,1003,34
2023-01-01,2,1004,27
2023-01-01,2,1005,25
2023-01-01,2,1006,33
2023-01-01,2,1007,32
2023-01-01,2,1008,33
2023-01-01,2,1009,28
2023-01-01,2,1010,35
2023-01-01,2,1011,28
2023-01-01,2,1012,28
2023-01-01,2,1013,33
2023-01-01,2,1014,36
2023-01-01,2,1015,25
2023-01-01,2,1016,33
2023-01-01,2,1017,33
2023-01-01,2,1018,30
2023-01-01,2,1019,28
2023-01-01,2,1020,36
2023-01-01,3,1001,29
2023-01-01,3,1002,27
2023-01-01,3,1003,27
2023-01-01,3,1004,37
2023-01-01,3,1005,34
2023-01-01,3,1006,36
2023-01-01,3,1007,28
2023-01-01,3,1008,27
2023-01-01,3,1009,29
2023-01-01,3,1010,25
2023-01-01,3,1011,38
2023-01-01,3,1012,30
2023-01-01,3,1013,40
2023-01-01,3,1014,30
2023-01-01,3,1015,27
2023-01-01,3,1016,31
2023-01-01,3,1017,22
2023-01-01,3,1018,36
2023-01-01,3,1019,25
2023-01-01,3,1020,32
2023-01-01,4,1001,27
2023-01-01,4,1002,28
2023-01-01,4,1003,32
2023-01-01,4,1004,24
2023-01-01,4,1005,28
2023-01-01,4,1006,32
2023-01-01,4,1007,30
2023-01-01,4,1008,32
2023-01-01,4,1009,32
2023-01-01,4,1010,37
2023-01-01,4,1011,28
2023-01-01,4,1012,27
2023-01-01,4,1013,34
2023-01-01,4,1014,30
2023-01-01,4,1015,36
2023-01-01,4,1016,28
2023-01-01,4,1017,32
2023-01-01,4,1018,31
2023-01-01,4,1019,24
2023-01-01,4,1020,30
2023-01-01,5,1001,32
2023-01-01,5,1002,33
2023-01-01,5,1003,28
2023-01-01,5,1004,32
2023-01-01,5,1005,24
2023-01-01,5,1006,27
2023-01-01,5,1007,36
2023-01-01,5,1008,34
2023-01-01,5,1009,31
2023-01-01,5,1010,26
2023-01-01,5,1011,27
2023-01-01,5,1012,32
2023-01-01,5,1013,36
2023-01-01,5,1014,27
2023-01-01,5,1015,35
2023-01-01,5,1016,26
2023-01-01,5,1017,37
2023-01-01,5,1018,31
2023-01-01,5,1019,25
2023-01-01,5,1020,35
2023-01-02,1,1001,27
2023-01-02,1,1002,23
2023-01-02,1,1003,25
2023-01-02,1,1004,29
2023-01-02,1,1005,27
2023-01-02,1,1006,31
2023-01-02,1,1007,23
2023-01-02,1,1008,26
2023-01-02,1,1009,25
2023-01-02,1,1010,22
2023-01-02,1,1011,14
2023-01-02,1,1012,29
2023-01-02,1,1013,20
2023-01-02,1,1014,28
2023-01-02,1,1015,26
2023-01-02,1,1016,17
2023-01-02,1,1017,25
2023-01-02,1,1018,25
2023-01-02,1,1019,29
2023-01-02,1,1020,24
2023-01-02,2,1001,29
2023-01-02,2,1002,24
2023-01-02,2,1003,20
2023-01-02,2,1004,26
2023-01-02,2,1005,27
2023-01-02,2,1006,26
2023-01-02,2,1007,24
2023-01-02,2,1008,23
2023-01-02,2,1009,16
